ID	MumID	Sex	LambAgeAugust	BirthYearF	RunDate	Plate	Age	AgeF	CapYearF	CapYear	LambAdult	IgAmp	IgEmp	IgGmp
7024	NA	F	NA	NA	42377	36	NA	NA	2008	2008	NA	2.34585319	0.254106749	0.313328397
7024	NA	F	NA	NA	42377	36	NA	NA	2010	2010	NA	1.980330161	0.230481062	0.314087318
7025	7036	F	NA	NA	42377	36	NA	NA	2008	2008	NA	1.703096055	0.828002256	0.360990661
7026	7023	F	NA	NA	42377	36	NA	NA	2008	2008	NA	1.956870811	0.090011061	0.603488828
7027	7023	F	NA	NA	42377	36	NA	NA	2008	2008	NA	0.937661215	0.19539113	0.840191256
7028	NA	F	NA	NA	42377	36	NA	NA	2008	2008	NA	0.76803164	0.471945059	0.555656641
7029	NA	F	NA	NA	42377	36	NA	NA	2008	2008	NA	2.138488234	0.64481269	0.817859631
7029	NA	F	NA	NA	42377	36	NA	NA	2010	2010	NA	1.331545835	0.580337431	0.412605309
7030	7042	F	NA	NA	42377	36	NA	NA	2008	2008	NA	2.07576786	0.299766683	0.832077365
7030	7042	F	NA	NA	42377	36	NA	NA	2010	2010	NA	1.364194604	0.530696685	0.608652578
7031	7032	F	NA	NA	42377	36	NA	NA	2008	2008	NA	1.713142348	0.558595054	0.477105364
7031	7032	F	NA	NA	42391	48	NA	NA	2009	2009	NA	1.488608408	0.528689011	0.398784546
7032	NA	F	NA	NA	42377	36	NA	NA	2008	2008	NA	0.66539436	0.220641544	0.531964715
7033	7025	F	NA	NA	42377	36	NA	NA	2008	2008	NA	0.808448888	0.324089467	0.195347213
7034	4291	F	NA	NA	42377	36	NA	NA	2008	2008	NA	0.891366354	0.377569176	0.824184778
7035	4353	F	NA	NA	42377	36	NA	NA	2008	2008	NA	1.825080434	0.29352059	0.434601974
7035	4353	F	NA	NA	42377	36	NA	NA	2010	2010	NA	2.005511636	0.240426852	0.33811629
7036	2708	F	NA	NA	42377	36	NA	NA	2008	2008	NA	1.931227753	0.597624533	0.897452262
7037	5438	F	NA	2008	42383	40	0	0	2008	2008	Lambs	0.932694743	0	0.032278992
7038	5813	F	NA	2008	42383	40	0	0	2008	2008	Lambs	1.227357668	0.008273719	0.073482255
7039	6558	F	NA	2008	42383	40	0	0	2008	2008	Lambs	0.362092777	0.002854252	0.169281077
7040	7042	F	NA	2008	42383	40	0	0	2008	2008	Lambs	1.663152592	0.00162584	0.145364261
7041	6307	F	NA	2008	42383	40	0	0	2008	2008	Lambs	0.405664881	0.030023846	0.049359943
7042	NA	F	NA	NA	42377	36	NA	NA	2008	2008	NA	2.859016724	1.143535627	0.9578588
7044	5451	M	NA	2008	42390	45	1	1	2009	2009	Adults	1.253638971	0.457621858	0.648842625
7044	5451	M	NA	2008	42376	33	2	2	2010	2010	Adults	0.749761286	0.390775764	0.483450659
7044	5451	M	NA	2008	42304	10	3	3	2011	2011	Adults	0.959203285	0.411496572	0.452347751
7044	5451	M	NA	2008	42320	20	4	4	2012	2012	Adults	1.05268411	0.619246948	0.505723464
7044	5451	M	NA	2008	42311	2	6	6	2014	2014	Adults	1.188916852	0.412120316	0.511792893
7056	5129	M	140	2009	42384	42	0	0	2009	2009	Lambs	1.090854603	0.043464901	0.276403357
7056	5129	M	498	2009	42375	31	1	1	2010	2010	Adults	0.811011452	0.408285019	0.495887242
7057	5266	F	134	2009	42384	42	0	0	2009	2009	Lambs	1.028215612	0.170522747	0.136706687
7057	5266	F	500	2009	42375	31	1	1	2010	2010	Adults	1.523936533	1.305085296	0.439197742
7057	5266	F	1951	2009	42311	2	5	5	2014	2014	Adults	1.61854065	1.058291251	0.598733481
7057	5266	F	2317	2009	42327	24	6	6	2015	2015	Adults	1.813383078	1.043402371	0.626616845
7058	5603	F	502	2009	42375	31	1	1	2010	2010	Adults	1.203600451	0.763030715	0.99005023
7058	5603	F	2326	2009	42327	24	6	6	2015	2015	Adults	0.794225056	1.388667456	0.713599336
7059	5604	M	496	2009	42375	31	1	1	2010	2010	Adults	1.708993621	0.821464311	0.68161682
7061	5089	M	494	2009	42375	31	1	1	2010	2010	Adults	1.30842043	0.751593141	0.438279917
7061	5089	M	1952	2009	42311	2	5	5	2014	2014	Adults	1.972923792	1.330109809	0.540779057
7062	5429	F	133	2009	42384	42	0	0	2009	2009	Lambs	0.542835968	0.01654949	0.027198026
7064	6054	F	859	2009	42304	11	2	2	2011	2011	Adults	1.617576317	0.333246159	0.823289863
7064	6054	F	2320	2009	42327	24	6	6	2015	2015	Adults	1.580406604	0.687999266	0.747501415
7065	6639	F	499	2009	42375	31	1	1	2010	2010	Adults	2.037532068	0.529076116	0.673427582
7066	6648	M	130	2009	42384	42	0	0	2009	2009	Lambs	1.526056317	0.171424659	0.30415727
7067	5455	F	135	2009	42384	42	0	0	2009	2009	Lambs	0.791817817	0.178682267	0.4346592
7067	5455	F	492	2009	42375	31	1	1	2010	2010	Adults	0.678371796	0.469255849	1.292269944
7067	5455	F	1235	2009	42320	20	3	3	2012	2012	Adults	1.919360101	0.549856736	0.806549124
7067	5455	F	1962	2009	42311	2	5	5	2014	2014	Adults	1.407737397	0.662483701	0.558117671
7068	5272	M	127	2009	42391	48	0	0	2009	2009	Lambs	1.492189539	0.296814336	0.404092199
7069	6546	F	127	2009	42384	42	0	0	2009	2009	Lambs	0.579342747	0.029155207	0.305601282
7070	5176	F	127	2009	42384	42	0	0	2009	2009	Lambs	1.674287218	0.110644633	0.238159053
7073	6416	F	127	2009	42384	42	0	0	2009	2009	Lambs	0.286218861	0	0.01453042
7073	6416	F	859	2009	42304	11	2	2	2011	2011	Adults	1.780029636	0.081983728	0.454140588
7074	5514	M	492	2009	42375	31	1	1	2010	2010	Adults	2.212415907	0.66024306	0.97227657
7074	5514	M	860	2009	42304	11	2	2	2011	2011	Adults	2.252883854	0.549853	0.763107345
7078	6563	F	128	2009	42384	42	0	0	2009	2009	Lambs	0.996478015	0.037090869	0.318128121
