ID	MOTHER	FATHER
1212	NA	NA
10909	10506	8946
10910	10520	8452
10911	NA	9171
10912	10530	9044
10913	NA	NA
10914	9758	NA
10915	10510	9793
10916	NA	NA
10917	10637	NA
10918	10228	NA
1213	NA	NA
10919	7534	8647
10920	9087	NA
10921	7064	NA
10922	7265	NA
10923	10363	NA
10924	8212	NA
10925	9727	NA
10926	NA	NA
10927	NA	NA
10928	NA	NA
1214	NA	NA
10929	NA	NA
10930	NA	NA
10931	7419	8946
10932	9744	8452
10933	9826	NA
10934	7401	8648
10935	6996	8673
10936	6996	8673
10937	10508	9080
10938	7121	9174
1215	NA	NA
10939	10634	8452
10940	8957	8720
10941	8682	9174
10942	6936	8720
10943	10947	NA
10944	10947	NA
10945	10948	10375
10946	6643	7301
10947	7534	6616
1216	NA	NA
10948	7543	9673
10949	NA	10670
10950	9767	9679
10951	8725	8926
10952	NA	8647
10953	NA	NA
10954	NA	NA
10955	8304	NA
191	NA	NA
1217	NA	NA
1218	NA	NA
1219	NA	NA
1220	NA	NA
1221	NA	NA
1222	NA	NA
1223	NA	NA
1224	NA	NA
1225	NA	NA
1226	NA	NA
192	NA	NA
1227	NA	NA
1228	NA	NA
1229	NA	NA
1230	NA	NA
1231	NA	NA
1232	NA	NA
1233	NA	NA
1234	NA	NA
1235	NA	NA
1236	NA	NA
193	NA	NA
1237	NA	NA
1238	NA	NA
1239	NA	NA
1240	NA	NA
1241	NA	NA
1242	NA	NA
1243	NA	NA
1244	NA	NA
1245	NA	NA
1246	NA	NA
194	NA	NA
1247	NA	NA
1248	NA	NA
1249	NA	NA
1250	NA	NA
1251	NA	NA
1252	NA	NA
1253	NA	NA
1254	NA	NA
1255	NA	NA
1256	NA	NA
195	NA	NA
1257	NA	NA
1258	NA	NA
1259	NA	NA
1260	NA	NA
1261	NA	NA
1262	NA	NA
1263	NA	NA
1264	NA	NA
1265	NA	NA
1266	NA	NA
196	NA	NA
1267	NA	NA
1268	NA	NA
1269	NA	NA
1270	NA	NA
1271	NA	NA
1272	NA	NA
1273	NA	NA
1274	NA	NA
1275	NA	NA
1276	NA	NA
94	NA	NA
197	NA	NA
1277	NA	NA
1278	495	NA
1279	NA	NA
1280	NA	972
1281	NA	NA
1282	NA	NA
1283	NA	NA
1284	NA	NA
1285	NA	NA
1286	NA	NA
198	NA	NA
1287	NA	NA
1288	NA	NA
1289	NA	NA
1290	NA	NA
1291	172	NA
1292	NA	NA
1293	NA	NA
1294	NA	NA
1295	NA	NA
1296	NA	NA
199	NA	NA
1297	NA	NA
1298	NA	NA
1299	NA	NA
1300	826	NA
1301	NA	NA
1302	NA	NA
1303	NA	NA
1304	NA	NA
1305	NA	NA
1306	NA	NA
200	NA	NA
1307	NA	NA
1308	NA	NA
1309	NA	NA
1310	NA	NA
1311	87	NA
1312	NA	NA
1313	NA	NA
1314	NA	NA
1315	NA	NA
1316	NA	NA
201	NA	NA
1317	NA	NA
1318	NA	NA
1319	982	NA
1320	NA	NA
1321	976	NA
1322	NA	NA
1323	286	NA
1324	NA	NA
1325	NA	NA
1326	650	NA
202	NA	NA
1327	NA	NA
1328	NA	NA
1329	NA	NA
1330	NA	NA
1331	NA	NA
1332	380	NA
1333	NA	NA
1334	NA	NA
1335	NA	NA
1336	94	NA
203	NA	NA
1337	NA	NA
1338	NA	NA
1339	NA	NA
1340	651	NA
1341	1174	NA
1342	NA	NA
1343	NA	NA
1344	NA	NA
1345	NA	NA
1346	NA	NA
204	NA	NA
1347	NA	NA
1348	NA	NA
1349	NA	NA
1350	NA	NA
1351	NA	NA
1352	NA	NA
1353	NA	NA
1354	NA	NA
1355	NA	NA
1356	NA	NA
205	NA	NA
1357	NA	NA
1358	NA	NA
1359	NA	NA
1360	NA	NA
1361	NA	NA
1362	NA	NA
1363	981	NA
1364	NA	NA
1365	1182	NA
206	NA	NA
1366	NA	NA
1367	NA	NA
1368	NA	NA
1369	NA	NA
1370	NA	NA
1371	NA	NA
1372	NA	NA
1373	NA	NA
1374	NA	NA
1375	NA	NA
95	NA	NA
207	NA	NA
1376	NA	NA
1377	NA	NA
1378	NA	NA
1379	NA	NA
1380	NA	NA
1381	NA	NA
1382	NA	NA
1383	NA	NA
1384	NA	NA
1385	NA	NA
208	NA	NA
1386	NA	NA
1387	NA	NA
1388	NA	NA
1389	NA	NA
1390	NA	NA
1391	172	NA
1392	NA	NA
1393	NA	NA
1394	NA	NA
1395	NA	NA
209	NA	NA
1396	NA	NA
1397	NA	NA
1398	NA	NA
1399	NA	NA
1400	NA	NA
1401	NA	NA
1402	NA	NA
1403	NA	NA
1404	NA	NA
1405	NA	NA
210	NA	NA
1406	NA	NA
1407	NA	NA
1408	NA	NA
1409	NA	NA
1410	NA	NA
1411	NA	NA
1412	NA	NA
1413	NA	NA
1414	NA	NA
1415	1157	NA
211	NA	NA
1416	NA	NA
1417	NA	NA
1418	NA	NA
1419	NA	NA
1420	NA	NA
1421	NA	NA
1422	NA	NA
1423	NA	NA
1424	NA	NA
1425	NA	NA
212	NA	NA
1426	NA	NA
1427	NA	NA
